Id,Location,Latitude,Longitude,Fatalities
1,10th of Ramadan City,30.29636,31.746326,0
2,10th of Ramadan City,30.29636,31.746326,0
3,10th of Ramadan City,30.29636,31.74633,0
4,15 May City,29.82983,31.36965,3
5,6th October City,29.946443,30.916871,0
6,6th October City,29.946443,30.916871,0
7,6th October City,29.946443,30.916871,1
8,6th October City,29.946443,30.916871,1
9,6th October City,29.946443,30.916871,2
10,6th October City,29.946443,30.916871,2
11,6th October City,29.946443,30.916871,4
12,Aawdiinle,3.17055,43.40989,0
13,Aawdiinle,3.17055,43.40989,0
14,Aawdiinle,3.17055,43.40989,0
15,Aawdiinle,3.17055,43.40989,7
16,Aba,5.106576,7.366667,0
17,Aba,5.106576,7.366667,0
18,Aba,5.106576,7.366667,1
19,Aba,5.10658,7.36667,0
20,Aba,5.10658,7.36667,0
21,Aba,5.10658,7.36667,6
22,Aba,5.10658,7.36667,10
23,Ababscia,1.63333,44.26667,1
24,Ababscia,1.63333,44.26667,10
25,Abadam,13.616902,13.264381,37
26,Abadam,13.626488,13.251593,14
27,Abaji,7.20613,9.54542,11
28,Abaji,8.46667,6.95,1
29,Abak,4.9797,7.79171,0
30,Abak-Ibiaku Uruan,5.078525,7.938705,50
31,Abakaliki,6.316249,8.116908,0
32,Abakaliki,6.316249,8.116908,0
33,Abakaliki,6.316249,8.116908,0
34,Abakaliki,6.316249,8.116908,0
35,Abakaliki,6.316249,8.116908,0
36,Abakaliki,6.316249,8.116908,0
37,Abakaliki,6.316249,8.116908,2
38,Abakaliki,6.316249,8.116908,3
39,Abakaliki,6.31625,8.11691,0
40,Abal,3.94352,43.94177,0
41,Abal,3.94352,43.94177,0
42,Abal,3.94352,43.94177,3
43,Abal,3.94352,43.94177,4
44,Abal,3.94352,43.94177,27
45,Abala,14.9369,3.4336,8
46,Abaq Beeday,4.1209,44.03645,0
47,Abara,4.1536111,32.1605556,3
48,Abari,11.850892,14.08172,7
49,Abavo,6.119022,6.184208,0
50,Abbasiya,12.01667,27.96667,1
51,Abdale Birole,-0.490556,42.196944,0
52,Abdale Birole,-0.490556,42.196944,0
53,Abdale Birole,-0.490556,42.196944,1
54,Abdale Birole,-0.490556,42.196944,2
55,Abdale Birole,-0.490556,42.196944,3
56,Abdale Birole,-0.490556,42.196944,10
57,Abdelmoumen,36.814258,4.662852,0
58,Abdi Dhore,-0.32566,42.27988,4
59,Abdul-Aziz,2.04045,45.36,0
60,Abdul-Aziz,2.04045,45.36,0
61,Abdul-Aziz,2.04045,45.36,0
62,Abdul-Aziz,2.04045,45.36,1
63,Abeche,13.8167,20.8167,0
64,Abegi,4.01,30.56,3
65,Abeibara,19.11667,1.75,2
66,Abeibara,19.1167,1.75,1
67,Abeokuta,7.15,3.35,0
68,Abeokuta,7.15,3.35,0
69,Abeokuta,7.15,3.35,0
70,Abeokuta,7.15,3.35,0
71,Abeokuta,7.15,3.35,0
72,Abeokuta,7.15,3.35,0
73,Abeokuta,7.15,3.35,0
74,Abeokuta,7.15,3.35,0
75,Abere,7.732115,4.516087,0
76,Abere,7.73212,4.51609,0
77,Abetifi,6.66954,-0.74764,12
78,Abialose,0.747,29.62108,0
79,Abialose,0.747,29.62108,1
